"Site","Date","Grid","Species","Sex"
"U3",2016-07-19,"14","Aedes vexans","M"
"U3",2016-07-19,"14","Aedes vexans","M"
"U3",2016-07-19,"14","Aedes vexans","F"
"U3",2016-07-19,"14","Aedes vexans","F"
"U3",2016-08-29,"37","Aedes albopictus","F"
"U3",2016-08-29,"37","Aedes albopictus","F"
"R2",2016-06-20,"50","Aedes albopictus","M"
"R2",2016-06-20,"50","Aedes albopictus","M"
"R2",2016-06-20,"50","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes japonicus","F"
"R2",2016-07-05,"59","Culex quinquefasciatus","M"
"R2",2016-07-05,"59","Culex quinquefasciatus","M"
"R2",2016-07-05,"59","Culex quinquefasciatus","M"
"R2",2016-07-05,"59","Culex quinquefasciatus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"59","Culex quinquefasciatus","F"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"50B","Aedes albopictus","M"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","M"
"R2",2016-07-05,"61B","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","M"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"61A","Aedes albopictus","F"
"R2",2016-08-02,"61A","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","M"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes albopictus","M"
"R2",2016-08-29,"51","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes japonicus","F"
"R2",2016-08-29,"51","Aedes albopictus","F"
"S1",2016-06-20,"56B","Aedes albopictus","F"
"S1",2016-06-20,"56B","Aedes albopictus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","M"
"S1",2016-06-20,"56A","Culex quinquefasciatus","M"
"S1",2016-06-20,"56B","Aedes albopictus","M"
"S1",2016-06-20,"56B","Aedes triseriatus","M"
"S1",2016-06-20,"43","Aedes triseriatus","F"
"S1",2016-06-20,"43","Aedes triseriatus","F"
"S1",2016-06-20,"43","Aedes triseriatus","F"
"S1",2016-06-20,"43","Aedes triseriatus","M"
"S1",2016-07-05,"43","Aedes albopictus","M"
"S1",2016-07-05,"43","Aedes triseriatus","F"
"S1",2016-07-19,"55","Aedes triseriatus","F"
"S1",2016-07-19,"85","Aedes albopictus","F"
"S1",2016-07-19,"85","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","M"
"S1",2016-07-19,"85","Aedes albopictus","M"
"S1",2016-07-19,"85","Aedes albopictus","M"
"S1",2016-07-19,"85","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","M"
"S1",2016-07-19,"56B","Aedes albopictus","M"
"S1",2016-07-19,"34","Aedes albopictus","M"
"S1",2016-07-19,"34","Aedes albopictus","M"
"S1",2016-07-19,"34","Aedes albopictus","M"
"S1",2016-07-19,"34","Aedes albopictus","M"
"S1",2016-07-19,"34","Aedes albopictus","M"
"S1",2016-07-19,"55","Aedes albopictus","M"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"56B","Aedes albopictus","F"
"S1",2016-07-19,"34","Aedes albopictus","F"
"S1",2016-07-19,"34","Aedes albopictus","F"
"S1",2016-07-19,"35B","Aedes albopictus","F"
"S1",2016-07-19,"85","Aedes albopictus","M"
"S1",2016-07-19,"56B","Aedes albopictus","F"
"S1",2016-07-19,"56B","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","M"
"S1",2016-07-19,"55","Aedes albopictus","M"
"S1",2016-07-19,"55","Aedes albopictus","M"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"35B","Aedes albopictus","F"
"S1",2016-07-19,"35B","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","F"
"S1",2016-07-19,"48","Aedes albopictus","F"
"S1",2016-08-02,"55B","Aedes albopictus","M"
"S1",2016-08-02,"85","Aedes albopictus","F"
"S1",2016-08-02,"85","Aedes albopictus","F"
"S1",2016-08-02,"55","Aedes albopictus","F"
"S1",2016-08-02,"85","Aedes albopictus","M"
"S1",2016-08-02,"46B","Aedes albopictus","F"
"S1",2016-08-02,"45A","Aedes albopictus","M"
"S1",2016-08-02,"45A","Aedes albopictus","M"
"S1",2016-08-02,"45A","Aedes albopictus","F"
"S1",2016-08-02,"45A","Culex quinquefasciatus","F"
"S1",2016-08-02,"55B","Aedes albopictus","F"
"S1",2016-08-02,"55B","Aedes albopictus","F"
"S1",2016-08-02,"45B","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes albopictus","M"
"S1",2016-08-02,"46B","Aedes albopictus","F"
"S1",2016-08-02,"85","Aedes albopictus","M"
"S1",2016-08-02,"85","Aedes albopictus","F"
"S1",2016-08-02,"85","Aedes albopictus","F"
"S1",2016-07-19,"55","Aedes triseriatus","F"
"S1",2016-08-02,"49B","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"82","Aedes albopictus","M"
"S1",2016-08-02,"82","Aedes albopictus","M"
"S1",2016-08-02,"82","Aedes albopictus","M"
"S1",2016-08-02,"46B","Aedes albopictus","M"
"S1",2016-08-02,"46B","Aedes albopictus","M"
"S1",2016-08-02,"46B","Aedes albopictus","F"
"S1",2016-08-02,"82","Aedes albopictus","M"
"S1",2016-08-02,"82","Aedes albopictus","F"
"S1",2016-08-02,"82","Aedes albopictus","F"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","F"
"S1",2016-08-02,"55B","Aedes albopictus","M"
"S1",2016-08-02,"55B","Aedes albopictus","M"
"S1",2016-08-02,"55B","Aedes albopictus","F"
"S1",2016-08-02,"49B","Aedes albopictus","M"
"S1",2016-08-02,"49B","Aedes albopictus","F"
"S1",2016-08-02,"85","Aedes albopictus","F"
"S1",2016-08-02,"45A","Aedes albopictus","F"
"S1",2016-08-02,"55","Aedes albopictus","M"
"S1",2016-08-02,"55","Aedes albopictus","F"
"S1",2016-08-02,"55","Aedes albopictus","F"
"S1",2016-08-02,"55","Aedes albopictus","F"
"S1",2016-08-02,"45A","Culex quinquefasciatus","F"
"S1",2016-08-02,"55 (C)","Aedes albopictus","F"
"S1",2016-08-15,"56A","Aedes albopictus","F"
"S1",2016-08-15,"46","Aedes albopictus","M"
"S1",2016-08-15,"46","Aedes albopictus","M"
"S1",2016-08-15,"46","Aedes albopictus","F"
"S1",2016-08-15,"46","Aedes albopictus","F"
"S1",2016-08-15,"24","","M"
"S1",2016-08-15,"85","Aedes albopictus","F"
"S1",2016-08-15,"91","Aedes albopictus","M"
"S1",2016-08-15,"91","Aedes albopictus","M"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-02,"55","Aedes triseriatus","F"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-02,"49B","Aedes triseriatus","F"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"91","Aedes albopictus","M"
"S1",2016-08-15,"46","Aedes albopictus","M"
"S1",2016-08-15,"55","Aedes triseriatus","F"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"56A","Aedes albopictus","F"
"S1",2016-08-15,"46","Aedes albopictus","F"
"S1",2016-08-15,"24","Culex quinquefasciatus","F"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"91","Aedes albopictus","M"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"56A","Aedes albopictus","M"
"S1",2016-08-15,"56A","Aedes albopictus","M"
"S1",2016-08-15,"25","Aedes albopictus","M"
"S1",2016-08-15,"25","Aedes albopictus","F"
"S1",2016-08-15,"25","Aedes albopictus","F"
"S1",2016-08-15,"25","Aedes albopictus","F"
"S1",2016-08-15,"46","Aedes albopictus","F"
"S1",2016-08-15,"35","Aedes albopictus","M"
"S1",2016-08-15,"35","Aedes albopictus","F"
"S1",2016-08-15,"46","Aedes albopictus","F"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"85","Aedes albopictus","M"
"S1",2016-08-15,"85","Aedes albopictus","F"
"S1",2016-08-15,"56B","Aedes albopictus","F"
"S1",2016-08-15,"85","Aedes albopictus","F"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"56A","Aedes albopictus","M"
"S1",2016-08-15,"56A","Aedes albopictus","M"
"S1",2016-08-15,"56A","Aedes albopictus","M"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"91","Aedes albopictus","F"
"S1",2016-08-15,"46","Aedes albopictus","F"
"S1",2016-08-15,"35","Aedes albopictus","F"
"S1",2016-08-15,"85","Aedes albopictus","F"
"S1",2016-08-15,"85","Aedes albopictus","F"
"S1",2016-08-15,"85","Aedes albopictus","F"
"S1",2016-08-15,"85","Aedes albopictus","F"
"S1",2016-08-15,"46","Aedes albopictus","F"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","F"
"S1",2016-08-15,"46A","Aedes albopictus","M"
"S1",2016-08-31,"46A","Aedes albopictus","M"
"S1",2016-08-31,"46A","Aedes albopictus","F"
"S1",2016-08-31,"85","Aedes albopictus","F"
"S1",2016-08-31,"46A","Aedes albopictus","M"
"S1",2016-08-31,"85","Aedes albopictus","M"
"S1",2016-08-31,"85","Aedes albopictus","M"
"S1",2016-08-31,"85","Aedes albopictus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","M"
"S1",2016-08-15,"24","Culex quinquefasciatus","F"
"S1",2016-08-31,"85","Aedes albopictus","F"
"S1",2016-08-31,"85","Aedes albopictus","F"
"S1",2016-09-12,"34B","Aedes albopictus","M"
"S1",2016-09-12,"34B","Aedes albopictus","M"
"S1",2016-09-12,"34A","Aedes albopictus","M"
"S1",2016-08-31,"85","Aedes albopictus","F"
"U1",2016-06-22,"44","Aedes albopictus","M"
"U1",2016-06-22,"44","Aedes albopictus","F"
"U1",2016-06-22,"59","Culex quinquefasciatus","F"
"U1",2016-06-22,"59","Culex quinquefasciatus","F"
"U1",2016-06-22,"59","Culex quinquefasciatus","F"
"U1",2016-06-22,"59","Culex quinquefasciatus","F"
"U1",2016-06-22,"59","Culex quinquefasciatus","F"
"U1",2016-06-22,"59","Culex quinquefasciatus","F"
"U1",2016-06-22,"59","Culex quinquefasciatus","M"
"U1",2016-06-22,"44","Culex quinquefasciatus","F"
"U1",2016-06-22,"44","Culex quinquefasciatus","M"
"U1",2016-06-22,"44","Culex quinquefasciatus","F"
"U1",2016-06-22,"44","Culex quinquefasciatus","F"
"U1",2016-06-22,"44","Culex quinquefasciatus","F"
"U1",2016-06-22,"44","Culex quinquefasciatus","M"
"U1",2016-06-22,"49","Aedes albopictus","M"
"U1",2016-07-07,"49","Aedes albopictus","M"
"U1",2016-07-07,"49","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","F"
"U1",2016-07-07,"48","Aedes albopictus","F"
"U1",2016-07-07,"48","Aedes japonicus","F"
"U1",2016-07-07,"49","Aedes albopictus","F"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"48","Aedes albopictus","F"
"U1",2016-07-07,"48","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","M"
"U1",2016-07-07,"48","Aedes albopictus","F"
"U1",2016-07-07,"48","Aedes japonicus","F"
"U1",2016-07-07,"49","Aedes albopictus","M"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"49","Aedes triseriatus","F"
"U1",2016-07-07,"60","Aedes triseriatus","F"
"U1",2016-07-07,"60","Aedes albopictus","M"
"U1",2016-07-07,"60","Aedes albopictus","M"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"49","Aedes albopictus","F"
"U1",2016-07-07,"49","Aedes albopictus","F"
"U1",2016-07-07,"49","Aedes albopictus","M"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-07,"60","Aedes albopictus","F"
"U1",2016-07-21,"59B","Aedes albopictus","M"
"U1",2016-07-21,"59A","Aedes albopictus","F"
"U1",2016-07-21,"59B","Aedes albopictus","M"
"U1",2016-07-21,"59B","Aedes albopictus","F"
"U1",2016-07-21,"59B","Aedes albopictus","M"
"U1",2016-07-21,"59B","Aedes albopictus","F"
"U1",2016-07-21,"59B","Aedes albopictus","F"
"U1",2016-07-21,"59A","Aedes albopictus","M"
"U1",2016-07-21,"59A","Aedes albopictus","M"
"U1",2016-07-21,"59A","Aedes albopictus","F"
"U1",2016-07-21,"59A","Aedes albopictus","F"
"U1",2016-07-21,"59B","Aedes albopictus","M"
"U1",2016-08-03,"60","Aedes albopictus","M"
"U1",2016-08-03,"60","Aedes albopictus","M"
"U1",2016-08-03,"60","Aedes albopictus","F"
"U1",2016-08-03,"60","Aedes albopictus","F"
"U1",2016-08-03,"60","Culex quinquefasciatus","F"
"U1",2016-08-03,"60","Aedes albopictus","F"
"U1",2016-08-03,"60","Aedes albopictus","F"
"U1",2016-08-03,"60","Aedes albopictus","F"
"U1",2016-08-03,"60","Culex quinquefasciatus","F"
"U1",2016-08-03,"60","Culex quinquefasciatus","F"
"U1",2016-08-03,"60","Culex quinquefasciatus","M"
"U1",2016-08-17,"49B","Aedes japonicus","F"
"U1",2016-08-17,"60","Aedes albopictus","F"
"U1",2016-08-17,"49","Aedes albopictus","M"
"U1",2016-08-17,"49B","Aedes albopictus","M"
"U1",2016-08-17,"49B","Aedes albopictus","M"
"U1",2016-08-17,"49A","Aedes albopictus","F"
"U1",2016-08-17,"49A","Aedes triseriatus","F"
"U1",2016-08-17,"49B","Aedes albopictus","F"
"U1",2016-08-17,"49A","Aedes triseriatus","F"
"U1",2016-08-31,"44","Aedes albopictus","F"
"U1",2016-08-17,"60","Aedes albopictus","F"
"U1",2016-08-17,"60","Aedes albopictus","F"
"U1",2016-08-17,"60","Aedes albopictus","F"
"U1",2016-08-17,"60","Aedes albopictus","F"
"U1",2016-08-31,"44","Aedes albopictus","F"
"U1",2016-08-31,"44","Aedes albopictus","F"
"S2",2016-06-20,"27A","Aedes albopictus","F"
"S2",2016-06-20,"27A","Aedes albopictus","M"
"S2",2016-06-20,"27A","Aedes albopictus","M"
"S2",2016-06-20,"27","Aedes japonicus","F"
"S2",2016-06-20,"27","Aedes japonicus","F"
"S2",2016-06-20,"27A","Aedes albopictus","F"
"S2",2016-06-20,"27A","Aedes albopictus","F"
"S2",2016-06-20,"27A","Aedes albopictus","M"
"S2",2016-06-20,"27A","Aedes japonicus","M"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"25","Aedes albopictus","M"
"S2",2016-07-05,"25","Aedes albopictus","M"
"S2",2016-07-05,"25","Aedes albopictus","F"
"S2",2016-07-05,"24A","Aedes albopictus","F"
"S2",2016-07-05,"24A","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes triseriatus","F"
"S2",2016-07-05,"24A","Aedes triseriatus","F"
"S2",2016-07-05,"24B","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","F"
"S2",2016-07-05,"85","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes albopictus","M"
"S2",2016-07-05,"24A","Aedes albopictus","F"
"S2",2016-07-05,"24A","Aedes albopictus","F"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"24B","Aedes albopictus","M"
"S2",2016-07-05,"85","Aedes albopictus","F"
"S2",2016-07-21,"59A","Aedes albopictus","M"
"S2",2016-07-21,"86","Orthopodomyia signifera","F"
"S2",2016-08-03,"24","Aedes albopictus","M"
"S2",2016-08-03,"27A","Aedes albopictus","F"
"S2",2016-08-03,"27A","Aedes albopictus","F"
"S2",2016-08-03,"27A","Aedes albopictus","F"
"S2",2016-08-03,"75","Aedes albopictus","M"
"S2",2016-08-03,"75","Aedes albopictus","F"
"S2",2016-08-03,"75","Aedes albopictus","F"
"S2",2016-08-03,"75","Aedes albopictus","M"
"S2",2016-08-03,"75","Aedes albopictus","F"
"S2",2016-08-03,"75","Aedes albopictus","F"
"S2",2016-08-03,"47B","Aedes albopictus","F"
"S2",2016-08-03,"86","Aedes albopictus","F"
"S2",2016-08-03,"27A","Aedes albopictus","F"
"S2",2016-08-03,"36A","Aedes albopictus","F"
