Site,Date,Grid,Species,Sex,Num,Notes
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes triseriatus ,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Culex quinquefasciatus,F,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,4,
R1,7/21/16,34,Aedes albopictus,M,1,
R1,7/21/16,34,Aedes albopictus,F,2,
R1,7/21/16,34,Aedes albopictus,M,3,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,M,1,
R1,8/2/16,51,Aedes albopictus,F,1,
R1,8/2/16,51,Aedes albopictus,M,2,
R1,8/2/16,51,Aedes albopictus,F,3,
R1,8/2/16,51,Aedes albopictus,M,1,
R1,8/2/16,51,Aedes albopictus,F,3,
R1,8/2/16,51,Aedes albopictus,F,2,
R1,8/2/16,33,Aedes albopictus,M,1,
R1,8/2/16,33,Orthopodomyia signifera,F,1,
R1,8/2/16,33,Orthopodomyia signifera,F,1,
R1,8/2/16,33,Orthopodomyia signifera,F,2,
R1,8/2/16,51,Aedes albopictus,M,1,
R1,8/2/16,51,Aedes albopictus,F,1,
R1,8/30/16,46C,Anopheles punctipennis,F,1,
R1,8/30/16,46C,Anopheles punctipennis,M,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes albopictus,M,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes japonicus,M,1,
U2,7/5/16,18,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,F,1,
U2,7/5/16,47B,Aedes albopictus,F,1,
U2,7/5/16,47B,Aedes albopictus,M,1,
U2,7/5/16,47B,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,F,1,
U2,7/5/16,75A,Aedes albopictus,F,1,
U2,7/5/16,18,Aedes albopictus,M,1,
U2,7/5/16,80,Aedes albopictus,M,1,
U2,7/5/16,80,Aedes albopictus,F,1,
U2,7/5/16,80,Aedes albopictus,F,1,
U2,7/5/16,18,Aedes albopictus,F,1,
U2,7/5/16,47A,Toxorhynchites,F,1,
U2,7/5/16,75,Aedes albopictus,F,1,
U2,7/5/16,75,Aedes albopictus,M,1,
U2,7/5/16,75,Culex quinquefasciatus,F,1,
U2,7/5/16,18,Aedes albopictus,F,1,
U2,7/5/16,75A,Aedes albopictus,M,1,
U2,7/5/16,75A,Culex quinquefasciatus,F,1,
U2,7/5/16,75A,Culex quinquefasciatus,M,1,
U2,7/5/16,75A,Culex quinquefasciatus,M,1,
U2,7/5/16,80,Aedes albopictus,F,1,
U2,7/5/16,80,Aedes albopictus,M,1,
U2,7/21/16,40,Aedes albopictus,F,1,
U2,7/21/16,18,Aedes albopictus,F,1,
U2,7/21/16,18,Aedes albopictus,F,1,
U2,7/21/16,18,Aedes albopictus,M,1,
U2,8/2/16,40A,Aedes albopictus,M,1,
U2,8/2/16,40A,Aedes albopictus,F,1,
U2,8/2/16,49,Aedes albopictus,M,2,
U2,8/2/16,49,Aedes albopictus,F,1,
U2,8/2/16,70,Aedes albopictus,M,6,
U2,8/2/16,75,Aedes albopictus,F,3,
U2,8/2/16,40A,Aedes albopictus,M,1,
U2,8/2/16,40A,Aedes albopictus,F,1,
U2,8/2/16,18,Aedes albopictus,M,2,
U2,8/2/16,42,Aedes albopictus,M,1,
U2,8/2/16,47B,Aedes albopictus,M,1,
U2,8/2/16,70,Aedes albopictus,M,2,
U2,8/2/16,70,Aedes albopictus,F,3,
U2,8/2/16,49,Aedes albopictus,F,1,
U2,8/2/16,49,Aedes albopictus,M,1,
U2,8/2/16,70,Aedes albopictus,F,1,
U2,8/2/16,40A,Aedes albopictus,F,1,
U2,8/2/16,75,Aedes albopictus,F,1,
U2,8/2/16,47A,Aedes albopictus,M,3,
U2,8/2/16,47A,Aedes albopictus,F,4,
U2,8/2/16,47A,Aedes triseriatus,M,1,
U2,8/17/16,40,Aedes albopictus,M,1,
U2,8/2/16,49,Aedes albopictus,F,1,
U2,8/2/16,47A,Aedes albopictus,F,1,
U2,8/2/16,47A,Aedes albopictus,F,1,
U2,8/17/16,18,Aedes albopictus,M,1,
U2,8/17/16,40,Aedes albopictus,F,1,
U2,8/17/16,37,Aedes albopictus,F,1,
U2,8/17/16,18,Aedes albopictus,M,1,
U2,8/17/16,18,Aedes albopictus,F,2,
U2,8/17/16,37,Aedes albopictus,F,1,
U2,8/17/16,49B,Aedes albopictus,M,1,
U2,8/17/16,49B,Aedes albopictus,F,2,
U2,8/29/16,42,Aedes albopictus,F,2,
U2,8/29/16,42,Aedes albopictus,M,2,
U2,8/17/16,37,Aedes albopictus,F,2,
U2,8/17/16,18,Aedes albopictus,F,2,
U2,8/29/16,42,Aedes albopictus,M,1,
U2,8/29/16,18,Aedes albopictus,F,2,
U2,8/17/16,37,Aedes albopictus,F,1,
U2,8/29/16,18,Aedes albopictus,F,1,
U2,8/29/16,59,Aedes albopictus,F,2,
S3,6/22/16,70,Aedes albopictus,F,1,
S3,6/22/16,70,Aedes albopictus,F,1,
S3,6/22/16,70,Aedes albopictus,F,1,
S3,6/22/16,70,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,49B,Aedes albopictus,M,1,
S3,7/7/16,49B,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,M,1,
S3,7/7/16,42,Aedes albopictus,M,1,
S3,7/7/16,70,Aedes albopictus,M,1,
S3,7/7/16,70,Aedes albopictus,F,1,
S3,7/7/16,70,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,M,1,
S3,7/7/16,42,Aedes albopictus,M,1,
S3,7/7/16,42,Aedes albopictus,M,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,49B,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,M,1,
S3,7/7/16,42,Aedes albopictus,M,1,
S3,7/7/16,42,Aedes albopictus,M,1,
S3,7/7/16,49A,Aedes albopictus,M,1,
S3,7/7/16,49A,Aedes albopictus,M,1,
S3,7/7/16,49A,Aedes albopictus,M,1,
S3,7/7/16,49A,Aedes albopictus,M,1,
S3,7/7/16,49A,Aedes albopictus,M,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,42,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/7/16,49A,Aedes albopictus,F,1,
S3,7/21/16,80,Culex quinquefasciatus,F,1,
S3,7/21/16,80,Culex quinquefasciatus,F,1,
S3,7/21/16,48,Aedes albopictus,M,1,
S3,7/21/16,48,Aedes albopictus,M,1,
S3,7/21/16,53,Culex quinquefasciatus,M,1,
S3,7/21/16,53,Aedes albopictus,F,1,
S3,7/21/16,80,Culex quinquefasciatus,M,2,
S3,7/21/16,80,Culex quinquefasciatus,F,1,
S3,7/21/16,53,Culex quinquefasciatus,M,4,
S3,8/3/16,50C,Aedes albopictus,M,1,
S3,8/3/16,48A,Aedes albopictus,F,2,
S3,8/3/16,48B,Aedes albopictus,M,1,
S3,8/3/16,50C,Aedes albopictus,F,1,
S3,8/3/16,48A,Aedes albopictus,F,1,
S3,8/3/16,48A,Aedes albopictus,M,1,
S3,8/3/16,50C,Aedes albopictus,F,1,
S3,8/3/16,50C,Aedes albopictus,M,1,
S3,8/3/16,70,Aedes albopictus,F,1,
S3,8/3/16,53A,Aedes albopictus,M,2,
S3,8/3/16,53A,Aedes albopictus,F,1,
S3,8/3/16,53A,Aedes albopictus,M,1,
S3,8/3/16,53A,Aedes albopictus,F,1,
S3,8/3/16,50C,Aedes albopictus,F,1,
S3,8/3/16,53A,Aedes albopictus,M,1,
S3,8/3/16,53A,Aedes albopictus,F,1,
S3,8/3/16,53A,Aedes albopictus,F,2,
S3,8/3/16,53A,Aedes albopictus,M,1,
S3,8/3/16,70,Aedes albopictus,F,1,
S3,8/17/16,49B,Aedes albopictus,F,1,
S3,8/17/16,83,Aedes albopictus,F,2,
S3,8/17/16,83,Aedes albopictus,M,1,
S3,8/17/16,64,Aedes albopictus,F,4,
S3,8/17/16,70,Aedes albopictus,M,4,
S3,8/17/16,49C,Aedes albopictus,F,1,
S3,8/17/16,48,Aedes albopictus,M,2,
S3,8/17/16,70,Aedes albopictus,F,1,
S3,8/17/16,5,Aedes albopictus,M,1,
S3,8/2/16,48,Aedes albopictus,M,5,
S3,8/17/16,49C,Aedes albopictus,F,1,
S3,8/17/16,49,Aedes albopictus,M,1,
S3,8/2/16,42,Aedes albopictus,F,2,
S3,8/29/16,70,Aedes albopictus,M,6,
S3,8/29/16,72,Aedes albopictus,M,1,
S3,8/29/16,70,Aedes albopictus,M,2,
S3,8/17/16,83,Aedes albopictus,M,2,
S3,8/17/16,49A,Aedes albopictus,M,2,
S3,8/17/16,5,Aedes albopictus,F,3,
S3,8/17/16,70,Aedes albopictus,F,2,
S3,8/29/16,70,Aedes albopictus,M,1,
S3,8/29/16,70,Aedes albopictus,F,1,
S3,8/17/16,49A,Aedes albopictus,M,3,
S3,8/17/16,49A,Aedes albopictus,F,1,
S3,8/29/16,72,Aedes albopictus,F,1,
S3,8/17/16,70,Aedes albopictus,M,1,
S3,8/29/16,70,Aedes albopictus,M,1,
S3,8/29/16,70,Aedes albopictus,F,1,
S3,8/17/16,49A,Aedes albopictus,M,2,
S3,8/17/16,49A,Aedes albopictus,F,2,
S3,8/17/16,5,Aedes albopictus,M,1,
R3,6/22/16,40,Aedes albopictus,F,1,
R3,6/22/16,40,Aedes albopictus,F,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,M,1,
R3,6/22/16,26,Culex quinquefasciatus,F,1,
R3,6/22/16,26,Anopheles punctipennis ,M,1,
R3,6/22/16,26,Anopheles punctipennis ,M,1,
R3,6/22/16,26,Anopheles punctipennis ,F,1,
R3,7/7/16,26,Culex quinquefasciatus,F,1,
R3,7/7/16,26,Culex quinquefasciatus,F,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,40A,Aedes albopictus,M,1,
R3,7/7/16,40A,Aedes albopictus,M,1,
R3,7/7/16,40A,Aedes albopictus,M,1,
R3,7/7/16,40A,Aedes albopictus,F,1,
R3,7/7/16,26,Culex quinquefasciatus,M,1,
R3,7/7/16,26,Culex quinquefasciatus,F,1,
R3,7/7/16,26,Anopheles punctipennis ,M,1,
R3,7/7/16,40A,Aedes albopictus,F,1,
R3,7/19/16,27,Anopheles punctipennis ,M,1,
R3,7/7/16,40A,Aedes albopictus,F,1,
R3,7/19/16,27,Culex quinquefasciatus,F,3,
R3,7/19/16,39,Aedes albopictus,F,1,
R3,7/19/16,39,Aedes albopictus,F,2,
R3,8/2/16,40A,Aedes albopictus,M,1,
R3,8/2/16,40A,Aedes albopictus,M,1,
R3,8/2/16,40A,Aedes albopictus,M,2,
R3,8/2/16,40A,Aedes albopictus,F,2,
R3,8/2/16,40A,Aedes albopictus,M,1,
R3,8/2/16,40A,Aedes albopictus,F,1,
R3,8/2/16,40A,Aedes albopictus,M,2,
R3,8/2/16,51,Aedes albopictus,F,1,
R3,8/15/16,40A,Aedes albopictus,M,1,
R3,8/15/16,40A,Aedes albopictus,F,1,
R3,8/15/16,26,Anopheles crucians,M,1,
R3,8/15/16,40A,Aedes albopictus,F,1,
R3,8/15/16,40A,Aedes albopictus,M,7,
R3,8/15/16,40A,Aedes albopictus,F,1,
R3,8/15/16,26,Anopheles punctipennis ,M,1,
R3,8/15/16,26,Anopheles punctipennis ,F,3,
R3,8/15/16,40A,Aedes albopictus,M,2,
R3,8/15/16,40A,Aedes albopictus,F,1,
R3,8/29/16,40,Aedes albopictus,M,1,
R3,8/15/16,40A,Aedes albopictus,F,2,
R3,8/15/16,40A,Aedes albopictus,M,1,
R3,8/29/16,40,Aedes albopictus,M,2,
R3,8/29/16,40,Aedes albopictus,F,6,
R3,8/29/16,40,Aedes albopictus,M,4,
R3,8/29/16,40,Aedes albopictus,F,2,
R3,8/29/16,38,Anopheles punctipennis,F,1,
R3,8/29/16,40,Aedes albopictus,M,2,
R3,8/29/16,40,Aedes albopictus,F,4,
R3,8/29/16,40,Aedes albopictus,F,1,
U2,9/11/16,18,Aedes albopictus,M,1,
U2,9/11/16,18,Aedes albopictus,F,1,
S3,9/13/16,70,Aedes albopictus,F,3,
S1,9/12/16,34B,Aedes albopictus,F,1,
U1,9/11/16,44,Aedes albopictus,F,1,
S1,9/12/16,34A,Aedes albopictus,F,1,
S1,9/12/16,69,Aedes albopictus,F,2,
S1,9/12/16,69,Aedes albopictus,M,1,
S1,9/12/16,55,Aedes albopictus,M,1,
S1,9/12/16,55,Aedes albopictus,F,1,
S1,9/12/16,34B,Aedes albopictus,F,1,
R3,9/11/16,40,Aedes albopictus,F,1,
U1,9/11/16,44,Aedes albopictus,F,1,
U1,9/11/16,44,Aedes albopictus,M,2,
S3,9/13/16,70,Aedes albopictus,F,1,
U2,9/11/16,18,Aedes albopictus,F,1,
U2,9/11/16,18,Aedes albopictus,F,1,
U2,9/11/16,18,Aedes albopictus,M,1,
U2,9/11/16,30,Aedes albopictus,F,1,
S1,9/12/16,34B,Aedes albopictus,F,2,
S1,9/12/16,55,Aedes albopictus,M,1,
S1,9/12/16,55,Aedes albopictus,F,2,
S1,9/12/16,69,Aedes albopictus,F,1,
S1,9/12/16,34A,Aedes albopictus,F,4,
S1,9/12/16,34A,Aedes albopictus,M,7,
S1,9/12/16,55,Aedes albopictus,M,5,
S1,9/12/16,55,Aedes albopictus,F,1,
S1,9/12/16,85,Aedes albopictus,F,5,
S1,9/12/16,69,Aedes albopictus,F,3,
S1,9/12/16,34A,Aedes albopictus,M,1,
S1,9/12/16,85,Aedes albopictus,F,6,
S1,9/12/16,85,Aedes albopictus,M,3,
U1,9/11/26,44,Aedes albopictus,M,1,
U1,9/11/26,44,Aedes albopictus,F,2,
S3,9/13/16,70,Aedes albopictus,F,1,
S3,9/13/16,70,Aedes albopictus,F,1,
S3,9/13/16,70,Aedes albopictus,F,1,
R2,9/12/16,92,Aedes albopictus,M,1,
R2,9/12/16,92,Aedes albopictus,F,3,
R2,9/12/16,92,Aedes albopictus,M,1,
R2,9/12/16,92,Aedes albopictus,M,2,
S2,9/12/16,19,Aedes albopictus,M,1,
U2,9/25/16,40B,Aedes albopictus,M,2,
S1,9/27/16,46,Aedes albopictus,M,2,
U2,9/25/15,29,Aedes albopictus,M,5,
U2,9/25/16,29,Aedes albopictus,F,2,
S1,9/27/16,69,Aedes albopictus,M,2,
U1,9/26/16,44,Aedes albopictus,F,1,
R3,9/25/16,40,Aedes albopictus,M,1,
R3,9/25/16,40,Aedes albopictus,F,2,
R1,9/25/16,46,Culex quinquefasciatus,M,1,
R1,9/25/16,46A,Culex quinquefasciatus,F,1,
S1,9/27/16,85,Aedes albopictus,F,1,
S1,9/27/16,85,Aedes albopictus,M,2,
S2,9/25/16,25,Aedes albopictus,M,1,
S2,9/25/16,19,Aedes albopictus,F,1,
R3,9/25/16,38,Culex quinquefasciatus,M,1,
R3,9/25/16,38,Culex quinquefasciatus,F,1,
S3,9/13/16,70,Aedes albopictus,F,1,
S1,9/12/16,85,Aedes albopictus,F,5,
S1,9/27/16,85,Aedes albopictus,F,5,
R3,9/25/16,40,Aedes albopictus,F,3,
R1,9/25/16,46B,Aedes albopictus,M,1,
R2,9/27/16,92,Aedes albopictus,M,3,
S1,9/27/16,69,Aedes albopictus,M,3,
S1,9/27/16,69,Aedes albopictus,F,2,
S1,9/27/16,46,Aedes albopictus,M,1,
R1,9/25/16,46B,Culex coronator,M,2,
R1,9/25/16,46B,Culex coronator,F,1,
U2,9/25/16,75,Culex quinquefasciatus,F,1,
U2,9/25/16,75,Culex quinquefasciatus,M,2,
S1,9/12/16,34B,Aedes albopictus,M,2,
S1,9/12/16,34B,Aedes albopictus,F,5,
R3,9/11/16,40,Aedes albopictus,F,3,
R3,9/11/16,40,Culex coronator,F,2,
R3,9/11/16,40,Culex coronator,M,1,
R3,9/25/16,38,Culex quinquefasciatus,M,4,
U2,10/9/16,18,Aedes albopictus,M,2,
U2,10/9/16,18,Aedes albopictus,F,3,
U1,10/9/16,44,Aedes albopictus,F,2,
S1,10/10/16,60,Culex quinquefasciatus,M,1,
R3,10/10/16,40,Aedes albopictus,M,4,
R3,10/10/16,40,Aedes albopictus,F,1,
R3,10/10/16,26,Culex coronator,M,3,
R3,10/10/16,26,Culex coronator,F,2,
S1,10/10/16,60,Culex quinquefasciatus,F,3,
R3,10/10/16,40,Aedes albopictus,M,4,
R3,10/10/16,40,Aedes albopictus,F,3,
R3,10/10/16,26,Culex coronator,F,2,
S1,10/10/16,60,Culex quinquefasciatus,F,5,
R3,10/10/16,26,Culex coronator,M,1,
R3,10/10/16,26,Culex coronator,F,2,
R1,10/25/16,NA,Culex coronator,M,1,
U3,10/24/16,26,Culex quinquefasciatus,F,1,
U2,1/24/17,42,Culex restuans,F,1,
U2,1/24/17,42,Culex restuans,M,1,
S2,1/23/17,86,Orthopodomyia signifera,F,1,
S2,1/23/17,86,Aedes triseriatus,F,1,
R3,3/6/17,26,Culex restuans,M,2,
R3,3/6/17,26,Culex restuans,F,1,
S2,3/6/17,19,Culex quinquefasciatus,F,4,
R3,3/6/17,26,Culex quinquefasciatus,F,3,
R3,3/6/17,26,Culex quinquefasciatus,M,2,
S2,3/6/17,19,Culex quinquefasciatus,M,5,
S1,3/6/17,71,Culex quinquefasciatus,M,1,
R3,3/6/17,40,Aedes triseriatus,F,1,
U2,4/26/17,46A,Aedes albopictus,F,1,
S3,4/26/17,48D,Aedes albopictus,F,1,
R3,4/26/17,26,Culex quinquefasciatus,F,5,
R2,4/26/17,61,Aedes japonicus,F,3,
R2,4/26/17,61,Aedes japonicus,M,1,
U3,4/26/17,26,Culex quinquefasciatus,M,1,
R3,4/26/17,40,Aedes japonicus,M,2,
S1,4/27/17,45,Culex quinquefasciatus,M,3,
U2,4/26/17,29,Culex quinquefasciatus,M,3,
R1,4/26/17,23,Aedes japonicus,F,2,
S1,4/27/17,80,Culex quinquefasciatus,M,3,
S3,4/26/17,48D,Culex quinquefasciatus,M,2,
S3,4/26/17,48D,Culex quinquefasciatus,F,2,
R3,4/26/17,26,Aedes japonicus,F,1,
R3,4/26/17,40,Aedes japonicus,M,4,
R3,4/26/17,40,Culex quinquefasciatus,F,1,
R1,4/26/17,46,Culex quinquefasciatus,M,1,
U2,4/26/17,29,Culex quinquefasciatus,F,1,
R1,4/26/17,23,Aedes japonicus,M,1,
S1,4/27/17,80,Culex quinquefasciatus,F,3,