Site,Code,Date collected ,Location (grid),Species,Sex,No.
1,U3,7/19/16,14,Aedes vexans,M,2
1,U3,7/19/16,14,Aedes vexans,F,2
1,U3,8/29/16,37,Aedes albopictus,F,1
1,U3,8/29/16,37,Aedes albopictus,F,1
2,R2,6/20/16,50,Aedes albopictus,M,1
2,R2,6/20/16,50,Aedes albopictus,M,1
2,R2,6/20/16,50,Aedes albopictus,F,1
2,R2,7/5/16,59,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,F,1
2,R2,7/5/16,59,Aedes albopictus,F,1
2,R2,7/5/16,59,Aedes albopictus,F,1
2,R2,7/5/16,59,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,F,1
2,R2,7/5/16,59,Aedes japonicus,F,1
2,R2,7/5/16,59,Culex quinquefasciatus,M,1
2,R2,7/5/16,59,Culex quinquefasciatus,M,1
2,R2,7/5/16,59,Culex quinquefasciatus,M,1
2,R2,7/5/16,59,Culex quinquefasciatus,F,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,50B,Aedes albopictus,M,1
2,R2,7/5/16,50B,Aedes albopictus,F,1
2,R2,7/5/16,59,Culex quinquefasciatus,F,1
2,R2,7/5/16,50B,Aedes albopictus,F,1
2,R2,7/5/16,50B,Aedes albopictus,M,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,M,1
2,R2,7/5/16,61B,Aedes albopictus,M,1
2,R2,7/5/16,59,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,50B,Aedes albopictus,M,1
2,R2,7/5/16,50B,Aedes albopictus,F,1
2,R2,7/5/16,50B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,M,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,61B,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,92,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,50B,Aedes albopictus,F,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,92,Aedes albopictus,M,1
2,R2,7/5/16,50B,Aedes albopictus,F,1
2,R2,7/5/16,50B,Aedes albopictus,F,1
2,R2,7/19/16,92,Aedes albopictus,M,1
2,R2,7/19/16,92,Aedes albopictus,M,1
2,R2,7/19/16,92,Aedes albopictus,M,1
2,R2,7/19/16,59A,Aedes albopictus,M,1
2,R2,7/19/16,59A,Aedes albopictus,M,1
2,R2,7/19/16,59A,Aedes albopictus,M,1
2,R2,7/19/16,59A,Aedes albopictus,M,1
2,R2,7/19/16,59A,Aedes albopictus,M,1
2,R2,7/19/16,92,Aedes albopictus,M,1
2,R2,7/19/16,59A,Aedes albopictus,M,1
2,R2,7/19/16,59A,Aedes albopictus,M,1
2,R2,7/19/16,92,Aedes albopictus,M,1
2,R2,7/19/16,92,Aedes albopictus,F,1
2,R2,8/2/16,61A,Aedes albopictus,M,2
2,R2,8/2/16,51,Aedes albopictus,M,4
2,R2,8/2/16,51,Aedes albopictus,F,1
2,R2,8/2/16,61A,Aedes albopictus,M,2
2,R2,8/2/16,61A,Aedes albopictus,F,2
2,R2,7/19/16,92,Aedes albopictus,M,2
2,R2,8/2/16,51,Aedes albopictus,F,4
2,R2,8/2/16,51,Aedes albopictus,F,1
2,R2,7/19/16,92,Aedes albopictus,M,2
2,R2,7/19/16,92,Aedes albopictus,F,3
2,R2,7/19/16,92,Aedes albopictus,M,2
2,R2,7/19/16,92,Aedes albopictus,F,1
2,R2,8/15/16,51,Aedes albopictus,M,1
2,R2,8/15/16,51,Aedes albopictus,F,3
2,R2,8/15/16,51,Aedes albopictus,F,1
2,R2,8/29/16,61B,Aedes albopictus,F,2
2,R2,8/29/16,61B,Aedes albopictus,M,2
2,R2,8/29/16,61B,Aedes albopictus,F,2
2,R2,8/29/16,61B,Aedes albopictus,M,3
2,R2,8/29/16,61B,Aedes albopictus,F,1
2,R2,8/29/16,51,Aedes albopictus,M,1
2,R2,8/29/16,51,Aedes albopictus,F,3
2,R2,8/29/16,51,Aedes japonicus,F,1
2,R2,8/29/16,51,Aedes albopictus,F,1
3,S1,6/20/16,56B,Aedes albopictus ,F,1
3,S1,6/20/16,56B,Aedes albopictus ,F,1
3,S1,6/20/16,56A,Culex quinquefasciatus,F,1
3,S1,6/20/16,56A,Culex quinquefasciatus,F,1
3,S1,6/20/16,56A,Culex quinquefasciatus,F,1
3,S1,6/20/16,56A,Culex quinquefasciatus,F,1
3,S1,6/20/16,56A,Culex quinquefasciatus,F,1
3,S1,6/20/16,56A,Culex quinquefasciatus,M,1
3,S1,6/20/16,56A,Culex quinquefasciatus,M,1
3,S1,6/20/16,56B,Aedes albopictus ,M,1
3,S1,6/20/16,56B,Aedes triseriatus ,M,1
3,S1,6/20/16,43,Aedes triseriatus ,F,1
3,S1,6/20/16,43,Aedes triseriatus ,F,1
3,S1,6/20/16,43,Aedes triseriatus ,F,1
3,S1,6/20/16,43,Aedes triseriatus ,M,1
3,S1,7/5/16,43,Aedes albopictus ,M,1
3,S1,7/5/16,43,Aedes triseriatus ,F,1
3,S1,7/19/16,55,Aedes triseriatus ,F,1
3,S1,7/19/16,85,Aedes albopictus ,F,1
3,S1,7/19/16,85,Aedes albopictus ,F,1
3,S1,7/19/16,55,Aedes albopictus ,M,1
3,S1,7/19/16,85,Aedes albopictus ,M,1
3,S1,7/19/16,85,Aedes albopictus ,M,1
3,S1,7/19/16,85,Aedes albopictus ,F,1
3,S1,7/19/16,55,Aedes albopictus ,M,1
3,S1,7/19/16,56B,Aedes albopictus ,M,1
3,S1,7/19/16,34,Aedes albopictus ,M,1
3,S1,7/19/16,34,Aedes albopictus ,M,1
3,S1,7/19/16,34,Aedes albopictus ,M,1
3,S1,7/19/16,34,Aedes albopictus ,M,1
3,S1,7/19/16,34,Aedes albopictus ,M,1
3,S1,7/19/16,55,Aedes albopictus ,M,1
3,S1,7/19/16,55,Aedes albopictus ,F,3
3,S1,7/19/16,56B,Aedes albopictus ,F,1
3,S1,7/19/16,34,Aedes albopictus ,F,2
3,S1,7/19/16,35B,Aedes albopictus ,F,1
3,S1,7/19/16,85,Aedes albopictus ,M,1
3,S1,7/19/16,56B,Aedes albopictus ,F,2
3,S1,7/19/16,55,Aedes albopictus ,M,3
3,S1,7/19/16,55,Aedes albopictus ,F,5
3,S1,7/19/16,35B,Aedes albopictus ,F,2
3,S1,7/19/16,55,Aedes albopictus ,F,1
3,S1,7/19/16,48,Aedes albopictus ,F,1
3,S1,8/2/16,55B,Aedes albopictus ,M,1
3,S1,8/2/16,85,Aedes albopictus ,F,2
3,S1,8/2/16,55,Aedes albopictus ,F,1
3,S1,8/2/16,85,Aedes albopictus ,M,1
3,S1,8/2/16,46B,Aedes albopictus ,F,1
3,S1,8/2/16,45A,Aedes albopictus ,M,2
3,S1,8/2/16,45A,Aedes albopictus ,F,1
3,S1,8/2/16,45A,Culex quinquefasciatus,F,1
3,S1,8/2/16,55B,Aedes albopictus ,F,2
3,S1,8/2/16,45B,Aedes albopictus ,F,1
3,S1,7/19/16,55,Aedes albopictus ,M,1
3,S1,8/2/16,46B,Aedes albopictus ,F,1
3,S1,8/2/16,85,Aedes albopictus ,M,1
3,S1,8/2/16,85,Aedes albopictus ,F,2
3,S1,7/19/16,55,Aedes triseriatus ,F,1
3,S1,8/2/16,49B,Aedes albopictus ,M,1
3,S1,8/2/16,55,Aedes albopictus ,M,2
3,S1,8/2/16,82,Aedes albopictus ,M,3
3,S1,8/2/16,46B,Aedes albopictus ,M,2
3,S1,8/2/16,46B,Aedes albopictus ,F,1
3,S1,8/2/16,82,Aedes albopictus,M,1
3,S1,8/2/16,82,Aedes albopictus,F,2
3,S1,8/2/16,55,Aedes albopictus,M,5
3,S1,8/2/16,55,Aedes albopictus,F,1
3,S1,8/2/16,55B,Aedes albopictus,M,2
3,S1,8/2/16,55B,Aedes albopictus,F,1
3,S1,8/2/16,49B,Aedes albopictus,M,1
3,S1,8/2/16,49B,Aedes albopictus,F,1
3,S1,8/2/16,85,Aedes albopictus,F,1
3,S1,8/2/16,45A,Aedes albopictus,F,1
3,S1,8/2/16,55,Aedes albopictus,M,1
3,S1,8/2/16,55,Aedes albopictus,F,3
3,S1,8/2/16,45A,Culex quinquefasciatus,F,1
3,S1,8/2/16,55 (C),Aedes albopictus,F,1
3,S1,8/15/16,56A,Aedes albopictus,F,1
3,S1,8/15/16,46,Aedes albopictus,M,2
3,S1,8/15/16,46,Aedes albopictus,F,2
3,S1,8/15/16,24,,M,1
3,S1,8/15/16,85,Aedes albopictus,F,1
3,S1,8/15/16,91,Aedes albopictus,M,2
3,S1,8/15/16,91,Aedes albopictus,F,2
3,S1,8/2/16,55,Aedes triseriatus,F,1
3,S1,8/15/16,24,Culex quinquefasciatus,M,2
3,S1,8/2/16,49B,Aedes triseriatus,F,1
3,S1,8/15/16,91,Aedes albopictus,F,1
3,S1,8/15/16,91,Aedes albopictus,M,1
3,S1,8/15/16,46,Aedes albopictus,M,1
3,S1,8/15/16,55,Aedes triseriatus,F,1
3,S1,8/15/16,24,Culex quinquefasciatus,M,1
3,S1,8/15/16,56A,Aedes albopictus,F,1
3,S1,8/15/16,46,Aedes albopictus,F,1
3,S1,8/15/16,24,Culex quinquefasciatus,F,1
3,S1,8/15/16,24,Culex quinquefasciatus,M,4
3,S1,8/15/16,91,Aedes albopictus,M,1
3,S1,8/15/16,91,Aedes albopictus,F,2
3,S1,8/15/16,56A,Aedes albopictus,M,2
3,S1,8/15/16,25,Aedes albopictus,M,1
3,S1,8/15/16,25,Aedes albopictus,F,3
3,S1,8/15/16,46,Aedes albopictus,F,1
3,S1,8/15/16,35,Aedes albopictus,M,1
3,S1,8/15/16,35,Aedes albopictus,F,1
3,S1,8/15/16,46,Aedes albopictus,F,1
3,S1,8/15/16,91,Aedes albopictus,F,2
3,S1,8/15/16,85,Aedes albopictus,M,1
3,S1,8/15/16,85,Aedes albopictus,F,1
3,S1,8/15/16,56B,Aedes albopictus,F,1
3,S1,8/15/16,85,Aedes albopictus,F,1
3,S1,8/15/16,24,Culex quinquefasciatus,M,1
3,S1,8/15/16,56A,Aedes albopictus,M,3
3,S1,8/15/16,91,Aedes albopictus,F,2
3,S1,8/15/16,46,Aedes albopictus,F,1
3,S1,8/15/16,35,Aedes albopictus,F,1
3,S1,8/15/16,85,Aedes albopictus,F,4
3,S1,8/15/16,46,Aedes albopictus,F,1
3,S1,8/15/16,24,Culex quinquefasciatus,M,2
3,S1,8/15/16,24,Culex quinquefasciatus,M,1
3,S1,8/15/16,24,Culex quinquefasciatus,F,1
3,S1,8/15/16,46A,Aedes albopictus,M,1
3,S1,8/31/16,46A,Aedes albopictus,M,1
3,S1,8/31/16,46A,Aedes albopictus,F,1
3,S1,8/31/16,85,Aedes albopictus,F,1
3,S1,8/31/16,46A,Aedes albopictus,M,1
3,S1,8/31/16,85,Aedes albopictus,M,3
3,S1,8/15/16,24,Culex quinquefasciatus,M,1
3,S1,8/15/16,24,Culex quinquefasciatus,F,1
3,S1,8/31/16,85,Aedes albopictus,F,2
3,S1,9/12/16,34B,Aedes albopictus,M,2
3,S1,9/12/16,34A,Aedes albopictus,M,1
3,S1,8/31/16,85,Aedes albopictus,F,1
4,U1,6/22/16,44,Aedes albopictus,M,1
4,U1,6/22/16,44,Aedes albopictus,F,1
4,U1,6/22/16,59,Culex quinquefaciatus,F,1
4,U1,6/22/16,59,Culex quinquefaciatus,F,1
4,U1,6/22/16,59,Culex quinquefaciatus,F,1
4,U1,6/22/16,59,Culex quinquefaciatus,F,1
4,U1,6/22/16,59,Culex quinquefaciatus,F,1
4,U1,6/22/16,59,Culex quinquefaciatus,F,1
4,U1,6/22/16,59,Culex quinquefaciatus,M,1
4,U1,6/22/16,44,Culex quinquefaciatus,F,1
4,U1,6/22/16,44,Culex quinquefaciatus,M,1
4,U1,6/22/16,44,Culex quinquefaciatus,F,1
4,U1,6/22/16,44,Culex quinquefaciatus,F,1
4,U1,6/22/16,44,Culex quinquefaciatus,F,1
4,U1,6/22/16,44,Culex quinquefaciatus,M,1
4,U1,6/22/16,49,Aedes albopictus,M,1
4,U1,7/7/16,49,Aedes albopictus,M,1
4,U1,7/7/16,49,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,F,1
4,U1,7/7/16,48,Aedes albopictus,F,1
4,U1,7/7/16,48,Aedes japonicus,F,1
4,U1,7/7/16,49,Aedes albopictus,F,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,48,Aedes albopictus,F,1
4,U1,7/7/16,48,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,M,1
4,U1,7/7/16,48,Aedes albopictus,F,1
4,U1,7/7/16,48,Aedes japonicus,F,1
4,U1,7/7/16,49,Aedes albopictus,M,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,49,Aedes triseriatus,F,1
4,U1,7/7/16,60,Aedes triseriatus,F,1
4,U1,7/7/16,60,Aedes albopictus,M,1
4,U1,7/7/16,60,Aedes albopictus,M,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,49,Aedes albopictus,F,1
4,U1,7/7/16,49,Aedes albopictus,F,1
4,U1,7/7/16,49,Aedes albopictus,M,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/7/16,60,Aedes albopictus,F,1
4,U1,7/21/16,59B,Aedes albopictus,M,1
4,U1,7/21/16,59A,Aedes albopictus,F,1
4,U1,7/21/16,59B,Aedes albopictus,M,1
4,U1,7/21/16,59B,Aedes albopictus,F,1
4,U1,7/21/16,59B,Aedes albopictus,M,1
4,U1,7/21/16,59B,Aedes albopictus,F,2
4,U1,7/21/16,59A,Aedes albopictus,M,2
4,U1,7/21/16,59A,Aedes albopictus,F,2
4,U1,7/21/16,59B,Aedes albopictus,M,1
4,U1,8/3/16,60,Aedes albopictus,M,1
4,U1,8/3/16,60,Aedes albopictus,M,1
4,U1,8/3/16,60,Aedes albopictus,F,2
4,U1,8/3/16,60,Culex quinquefaciatus,F,1
4,U1,8/3/16,60,Aedes albopictus,F,2
4,U1,8/3/16,60,Aedes albopictus,F,1
4,U1,8/3/16,60,Culex quinquefaciatus,F,2
4,U1,8/3/16,60,Culex quinquefaciatus,M,1
4,U1,8/17/16,49B,Aedes japonicus,F,1
4,U1,8/17/16,60,Aedes albopictus,F,1
4,U1,8/17/16,49,Aedes albopictus,M,1
4,U1,8/17/16,49B,Aedes albopictus,M,2
4,U1,8/17/16,49A,Aedes albopictus,F,1
4,U1,8/17/16,49A,Aedes triseriatus,F,1
4,U1,8/17/16,49B,Aedes albopictus,F,1
4,U1,8/17/16,49A,Aedes triseriatus,F,1
4,U1,8/31/16,44,Aedes albopictus,F,1
4,U1,8/17/16,60,Aedes albopictus,F,3
4,U1,8/17/16,60,Aedes albopictus,F,1
4,U1,8/31/16,44,Aedes albopictus,F,1
4,U1,8/31/16,44,Aedes albopictus,F,1
5,S2,6/20/16,27A,Aedes albopictus ,F,1
5,S2,6/20/16,27A,Aedes albopictus ,M,1
5,S2,6/20/16,27A,Aedes albopictus ,M,1
5,S2,6/20/16,27,Aedes japonicus,F,1
5,S2,6/20/16,27,Aedes japonicus,F,1
5,S2,6/20/16,27A,Aedes albopictus ,F,1
5,S2,6/20/16,27A,Aedes albopictus ,F,1
5,S2,6/20/16,27A,Aedes albopictus ,M,1
5,S2,6/20/16,27A,Aedes japonicus,M,1
5,S2,7/5/16,24B,Aedes albopictus ,M,1
5,S2,7/5/16,24A,Aedes albopictus ,M,1
5,S2,7/5/16,24A,Aedes albopictus ,M,1
5,S2,7/5/16,24A,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,M,1
5,S2,7/5/16,24B,Aedes albopictus ,M,1
5,S2,7/5/16,24B,Aedes albopictus ,M,1
5,S2,7/5/16,25,Aedes albopictus ,M,1
5,S2,7/5/16,25,Aedes albopictus ,M,1
5,S2,7/5/16,25,Aedes albopictus ,F,1
5,S2,7/5/16,24A,Aedes albopictus ,F,1
5,S2,7/5/16,24A,Aedes albopictus ,M,1
5,S2,7/5/16,24A,Aedes triseriatus,F,1
5,S2,7/5/16,24A,Aedes triseriatus,F,1
5,S2,7/5/16,24B,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,F,1
5,S2,7/5/16,85,Aedes albopictus ,F,1
5,S2,7/5/16,24B,Aedes albopictus ,M,1
5,S2,7/5/16,24A,Aedes albopictus ,M,1
5,S2,7/5/16,24A,Aedes albopictus ,M,1
