TrayCode,Date,Individual,Bars,Conversion(bars/mm)
R1T1,10/27/2016,1,65,0.04
R1T1,10/28/2016,1,53,0.04
R1T1,10/29/2016,1,59,0.04
R1T1,10/29/2016,2,58,0.04
R1T1,10/29/2016,3,63,0.04
R1T1,11/1/2016,1,60,0.04
R1T1,11/1/2016,2,75,0.04
R1T1,11/2/2016,1,50,0.04
R1T1,11/5/2016,1,NA,0.04
R1T2,10/28/2016,1,55,0.04
R1T2,10/28/2016,2,57,0.04
R1T2,10/28/2016,3,NA,0.04
R1T2,10/28/2016,4,53,0.04
R1T2,10/28/2016,5,54,0.04
R1T2,11/1/2016,1,NA,0.04
R1T2,11/2/2016,1,NA,0.04
R1T2,11/3/2016,1,50,0.04
R1T3,10/29/2016,1,50,0.04
R1T3,10/29/2016,2,56,0.04
R1T3,11/5/2016,1,55,0.04
R1T3,11/5/2016,2,51,0.04
R1T4,10/27/2016,1,65,0.04
R1T4,10/27/2016,2,66,0.04
R1T4,10/28/2016,1,NA,0.04
R1T4,10/28/2016,2,60,0.04
R1T4,10/30/2016,1,NA,0.04
R1T4,11/1/2016,1,NA,0.04
R1T4,11/2/2016,1,NA,0.04
R1T4,11/7/2016,1,50,0.04
R2T1,10/25/2016,1,65,0.04
R2T1,10/25/2016,2,61,0.04
R2T1,10/25/2016,3,60,0.04
R2T1,10/29/2016,1,NA,0.04
R2T1,10/29/2016,2,54,0.04
R2T1,10/30/2016,1,61,0.04
R2T1,10/30/2016,2,54,0.04
R2T1,10/31/2016,1,50,0.04
R2T1,11/1/2016,1,NA,0.04
R2T1,11/2/2016,1,51,0.04
R2T2,10/25/2016,1,57,0.04
R2T3,11/2/2016,1,55,0.04
R2T3,10/30/2016,1,53,0.04
R3T2,10/23/2016,1,60,0.04
R3T2,10/23/2016,2,56,0.04
R3T2,10/24/2016,1,60,0.04
R3T2,10/26/2016,1,53,0.04
R3T2,10/26/2016,2,55,0.04
R3T2,10/30/2016,1,61,0.04
R3T2,10/30/2016,2,63,0.04
R3T2,10/31/2016,1,60,0.04
R3T2,11/3/2016,1,NA,0.04
R3T2,10/25/2016,1,58,0.04
R3T3,10/28/2016,1,61,0.04
R3T4,10/23/2016,1,NA,0.04
R3T4,10/26/2016,1,55,0.04
R3T4,10/28/2016,1,61,0.04
R3T4,10/28/2016,2,56,0.04
R3T4,10/28/2016,3,59,0.04
R3T4,10/29/2016,1,61,0.04
R3T4,10/29/2016,2,60,0.04
R3T4,10/30/2016,1,NA,0.04
R3T4,10/30/2016,2,59,0.04
R3T4,11/3/2016,1,NA,0.04
R3T4,10/24/2016,1,57,0.04
S1T1,10/24/2016,1,57,0.04
S1T1,10/24/2016,2,NA,0.04
S1T1,10/25/2016,1,58,0.04
S1T2,10/25/2016,1,59,0.04
S1T2,10/25/2016,2,64,0.04
S1T2,10/27/2016,1,60,0.04
S1T2,10/27/2016,2,59,0.04
S1T2,10/30/2016,1,61,0.04
S1T3,10/25/2016,1,50,0.04
S1T3,10/25/2016,2,53,0.04
S1T3,10/29/2016,1,54,0.04
S2T1,10/28/2016,1,52,0.04
S2T2,10/28/2016,1,62,0.04
S2T2,10/29/2016,1,56,0.04
S2T2,11/3/2016,1,55,0.04
S2T2,11/4/2016,1,62,0.04
S2T3,10/29/2016,1,NA,0.04
S2T3,11/1/2016,1,52,0.04
S2T4,10/29/2016,1,59,0.04
S2T4,10/29/2016,2,60,0.04
S2T4,11/3/2016,1,61,0.04
S2T4,11/4/2016,1,56,0.04
S3T1,10/21/2016,1,68,0.04
S3T1,10/21/2016,2,65,0.04
S3T1,10/22/2016,1,69,0.04
S3T1,10/22/2016,2,60,0.04
S3T1,10/25/2016,1,67,0.04
S3T1,10/26/2016,1,61,0.04
S3T1,10/27/2016,1,60,0.04
S3T1,10/29/2016,1,63,0.04
S3T2,10/21/2016,1,69,0.04
S3T2,10/21/2016,2,64,0.04
S3T2,10/23/2016,1,64,0.04
S3T2,11/2/2016,1,56,0.04
S3T3,10/21/2016,1,65,0.04
S3T3,10/21/2016,2,64,0.04
S3T3,10/23/2016,1,63,0.04
S3T3,10/23/2016,2,63,0.04
S3T3,10/25/2016,1,61,0.04
S3T3,10/29/2016,1,64,0.04
S3T3,10/31/2016,1,65,0.04
S3T3,10/31/2016,2,59,0.04
S3T4,10/21/2016,1,54,0.04
S3T4,10/21/2016,2,57,0.04
S3T4,10/21/2016,3,60,0.04
S3T4,10/21/2016,4,63,0.04
S3T4,10/22/2016,1,55,0.04
S3T4,10/23/2016,1,66,0.04
S3T4,10/23/2016,2,65,0.04
S3T4,10/23/2016,3,70,0.04
S3T4,10/25/2016,1,66,0.04
S3T4,10/27/2016,1,62,0.04
S3T4,10/27/2016,2,61,0.04
S3T4,10/29/2016,1,60,0.04
S3T4,11/4/2016,1,66,0.04
U1T1,10/21/2016,1,60,0.04
U1T1,10/21/2016,2,62,0.04
U1T1,10/21/2016,3,61,0.04
U1T1,10/21/2016,4,59,0.04
U1T1,10/21/2016,5,62,0.04
U1T1,10/22/2016,1,63,0.04
U1T1,10/25/2016,1,57,0.04
U1T1,10/25/2016,2,60,0.04
U1T1,10/27/2016,1,63,0.04
U1T1,10/27/2016,2,61,0.04
U1T1,10/27/2016,3,57,0.04
U1T1,10/28/2016,1,61,0.04
U1T1,11/1/2016,1,62,0.04
U1T1,11/4/2016,1,61,0.04
U1T2,10/21/2016,1,64,0.04
U1T2,10/21/2016,2,70,0.04
U1T2,10/21/2016,3,68,0.04
U1T3,10/29/2016,1,59,0.04
U1T3,11/4/2016,1,52,0.04
U1T3,11/4/2016,2,60,0.04
U1T3,11/5/2016,1,56,0.04
U1T3,10/22/2016,1,61,0.04
U2T1,10/21/2016,1,61,0.04
U2T1,10/21/2016,2,58,0.04
U2T1,10/22/2016,1,63,0.04
U2T1,10/22/2016,2,52,0.04
U2T1,10/22/2016,3,62,0.04
U2T1,10/23/2016,1,60,0.04
U2T1,10/26/2016,1,57,0.04
U2T1,10/26/2016,2,54,0.04
U2T1,10/27/2016,1,NA,0.04
U2T1,10/27/2016,2,55,0.04
U2T2,10/21/2016,1,NA,0.04
U2T2,10/21/2016,2,60,0.04
U2T2,10/22/2016,1,60,0.04
U2T2,10/23/2016,1,NA,0.04
U2T2,10/23/2016,2,54,0.04
U2T2,10/24/2016,1,47,0.04
U2T2,10/27/2016,1,59,0.04
U2T3,10/26/2016,1,56,0.04
U3T1,10/26/2016,1,61,0.04
U3T1,10/27/2016,1,NA,0.04
U3T1,10/27/2016,2,62,0.04
U3T1,10/28/2016,1,55,0.04
U3T1,10/28/2016,2,63,0.04
U3T1,10/28/2016,3,64,0.04
U3T1,10/30/2016,1,70,0.04
U3T1,10/30/2016,2,57,0.04
U3T1,10/31/2016,1,66,0.04
U3T1,11/1/2016,1,60,0.04
U3T1,11/4/2016,1,66,0.04
U3T1,11/4/2016,2,71,0.04
U3T2,10/24/2016,1,69,0.04
U3T2,10/26/2016,1,60,0.04
U3T2,10/26/2016,2,60,0.04
U3T2,10/28/2016,1,61,0.04
U3T3,10/23/2016,1,56,0.04
U3T3,10/24/2016,1,NA,0.04
U3T3,10/24/2016,2,59,0.04
U3T3,10/28/2016,1,69,0.04
U3T3,10/28/2016,2,64,0.04
U3T3,10/28/2016,3,58,0.04
U3T3,10/31/2016,1,59,0.04
U3T3,10/31/2016,2,60,0.04
